PLAYER,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Sekou Doumbouya,LAL,Stretch Big,16,PF,21,,-0.14,-0.12,-0.02,0,-0.32,-0.11,-0.21,0.52,0.01,0.51
Semi Ojeleye,MIL/LAC,Stretch Big,393,PF,27,,-3.15,-1.91,-1.24,-0.2,-1.8,-1.37,-0.44,-2.09,-0.98,-1.12
Serge Ibaka,LAC/MIL,Stretch Big,800,C-PF,32,,-1.82,-2.06,0.24,0.3,-0.68,-1.17,0.49,-1.45,-0.51,-0.94
Seth Curry,PHI/BRK,Secondary Ball Handler,"1,960",SG,31,,-0.83,-0.05,-0.79,1.9,-0.96,-0.35,-0.61,0.44,0.69,-0.26
Shai Gilgeous-Alexander,OKC,Shot Creator,"1,942",PG,23,,2.48,2.71,-0.23,6.2,0.72,1,-0.28,2.28,1.62,0.66
Shake Milton,PHI,Secondary Ball Handler,951,PG,25,,-0.66,-0.82,0.16,1.1,-1.91,-1.14,-0.77,1.04,0.14,0.9
Shaq Buchanan,MEM,Low Minute,10,PG,25,,-1.11,-0.4,-0.71,0,-1.23,-0.52,-0.71,0,0,0
Shaquille Harrison,BRK,Movement Shooter,23,SG,28,,-0.68,-0.42,-0.26,0,-0.64,-0.32,-0.31,0,0,0
Sharife Cooper,ATL,Movement Shooter,35,PG,20,,-0.96,-0.69,-0.27,0,-0.5,-0.36,-0.15,-0.16,-0.23,0.07
Skylar Mays,ATL,Stationary Shooter,211,SG,24,,-1.8,-0.88,-0.92,0.1,-1.21,-0.78,-0.43,0.01,-0.11,0.11
Solomon Hill,ATL,Athletic Finisher,139,PF,31,,-1.12,-1.54,0.42,0.1,-1.05,-1.15,0.11,-0.14,-0.76,0.62
Spencer Dinwiddie,WAS/DAL,Shot Creator,"1,766",PG,28,,0.88,0.72,0.16,3.8,0.6,1.15,-0.54,0.23,-0.94,1.17
Stanley Johnson,LAL,Stretch Big,817,PF,25,,-1.2,-1.01,-0.2,0.6,-1.17,-1.57,0.4,0,0,0
Stephen Curry,GSW,Primary Ball Handler,"2,211",PG,34,,4.23,4.03,0.19,9.4,4.1,3.81,0.29,2.21,1.65,0.56
Sterling Brown,DAL,Stationary Shooter,598,SG,27,,-1.39,-1.82,0.43,0.4,-1.59,-1.83,0.25,-0.65,-0.58,-0.07
Steven Adams,MEM,Roll + Cut Big,"1,799",C,28,,2.02,0.79,1.23,5.2,0.98,0.13,0.85,2.04,0.77,1.27
Svi Mykhailiuk,TOR,Movement Shooter,696,SF,24,,-1.7,-1.23,-0.47,0.3,-2.04,-1.28,-0.76,-0.77,-0.38,-0.39
T.J. McConnell,IND,Slasher,581,PG,29,,-0.72,-0.46,-0.25,0.6,-0.35,-0.28,-0.06,-1.43,0.01,-1.42
Tacko Fall,CLE,Post Scorer,59,C,26,,-0.4,-0.59,0.19,0.1,-0.67,-0.69,0.02,-0.04,-0.17,0.13
Taj Gibson,NYK,Roll + Cut Big,787,C,36,,-1.39,-2.44,1.06,0.5,-1.56,-2.71,1.16,-1.16,-1.45,0.29
Talen Horton-Tucker,LAL,Secondary Ball Handler,"1,327",SG,21,,-1.88,-1.64,-0.24,0.4,-1.99,-1.62,-0.37,0.53,-0.34,0.87
Taurean Prince,MIN,Stationary Shooter,"1,011",PF,28,,-0.74,-0.58,-0.15,1.1,-0.9,-0.84,-0.07,-2.04,-1.07,-0.97
Terance Mann,LAC,Athletic Finisher,"2,090",SF,25,,-0.38,-0.61,0.23,2.7,-1.33,-1.29,-0.04,0.84,-0.07,0.91
Terence Davis,SAC,Movement Shooter,536,SG,24,,1.36,1.12,0.24,1.3,0.02,0.32,-0.3,1.76,0.91,0.85
Terrence Ross,ORL,Secondary Ball Handler,"1,394",SG,31,,-4.88,-1.92,-2.96,-2.2,-2.82,-1.54,-1.29,-4.03,-0.67,-3.35
Terry Rozier,CHO,Primary Ball Handler,"2,139",SG,28,,2.14,2.09,0.05,6.3,1.07,1.99,-0.91,0.27,0.15,0.12
Terry Taylor,IND,Roll + Cut Big,426,SG,22,,0.18,0.96,-0.79,0.7,-0.71,0.39,-1.1,0,0,0
Thaddeus Young,SAS/TOR,Roll + Cut Big,650,PF,33,,-1.36,-1.82,0.46,0.4,-0.63,-0.72,0.09,0.25,-0.17,0.42
Thanasis Antetokounmpo,MIL,Roll + Cut Big,389,SF,29,,-2.65,-2.25,-0.4,-0.1,-1.77,-1.95,0.18,-1.87,-1.19,-0.68
Theo Maledon,OKC,Stationary Shooter,706,PG,20,,-2.29,-1.8,-0.49,0,-1.58,-1.34,-0.24,-0.48,-0.67,0.19
Theo Pinson,DAL,Stationary Shooter,120,SF,26,,-1.17,-0.64,-0.53,0.1,-0.7,-0.58,-0.13,0,0,0
Thomas Bryant,WAS,Stretch Big,385,C,24,,0.19,-0.31,0.5,0.6,0.32,-0.18,0.5,0,0,0
Tim Frazier,ORL/CLE,Secondary Ball Handler,208,PG,31,,-1.48,-1.35,-0.14,0.1,-1.15,-1.09,-0.06,0,0,0
Tim Hardaway Jr.,DAL,Stationary Shooter,"1,245",SG,30,,-0.15,0.19,-0.34,1.8,0.21,0.69,-0.48,-0.91,0.23,-1.14
Timothe Luwawu-Cabarrot,ATL,Stationary Shooter,495,SF,26,,-1.99,-1.9,-0.09,0.1,-1.81,-1.29,-0.52,-0.72,-0.82,0.1
Tobias Harris,PHI,Shot Creator,"2,173",PF,29,,0.42,0.92,-0.51,4,0.21,0.22,-0.01,0.25,0.34,-0.08
Tomas Satoransky,NOP/SAS/WAS,Secondary Ball Handler,660,SG,30,,-2.66,-2.14,-0.51,-0.1,-1.52,-1.33,-0.19,-1.03,-1.4,0.37
Tony Bradley,CHI,Roll + Cut Big,522,C,24,,0.04,-1.58,1.62,0.8,-0.81,-2.11,1.3,1.86,0.43,1.44
Tony Snell,POR/NOP,Stationary Shooter,776,SG,30,,-2.53,-2.38,-0.16,-0.1,-2.73,-2.48,-0.25,-0.91,-1.15,0.24
Torrey Craig,IND/PHO,Athletic Finisher,"1,404",SF,31,,-2.26,-1.44,-0.82,0.1,-1.73,-1.45,-0.28,-0.56,-0.19,-0.37
Trae Young,ATL,Shot Creator,"2,265",PG,23,,2.51,4.78,-2.27,7.2,2.7,4.67,-1.97,-0.18,1.28,-1.45
Trayvon Palmer,DET,Low Minute,17,SG,27,,-0.57,-0.63,0.06,0,-0.46,-0.46,0,0,0,0
Tre Jones,SAS,Primary Ball Handler,897,PG,22,,-0.9,-0.1,-0.8,0.8,-1.09,-0.55,-0.55,1.95,0.59,1.36
Tre Mann,OKC,Secondary Ball Handler,"1,306",PG,21,,-4.05,-2.04,-2.01,-1.4,-2.61,-1.84,-0.77,-1.27,-0.68,-0.59
Tremont Waters,TOR/WAS,Movement Shooter,50,PG,24,,-0.68,-0.44,-0.25,0.1,-0.74,-0.47,-0.26,0,0,0
Trendon Watford,POR,Roll + Cut Big,784,SF,21,,-2.68,-1.75,-0.94,-0.2,-0.92,-1.2,0.28,-0.64,-0.29,-0.34
Trent Forrest,UTA,Slasher,697,PG,23,,-1.41,-1.01,-0.4,0.4,-1.32,-1.23,-0.09,0.24,-0.1,0.34
Trevelin Queen,HOU,Movement Shooter,74,SG,25,,0.09,0.14,-0.05,0.1,0,0.05,-0.04,0,0,0
Trevon Scott,CLE,Post Scorer,11,SF,25,,-0.54,-0.33,-0.21,0,-0.64,-0.37,-0.27,0,0,0
Trevor Ariza,LAL,Stationary Shooter,415,SF,36,,-1.47,-1.44,-0.03,0.2,-1.36,-1.64,0.28,0,0,0
Trey Burke,DAL,Secondary Ball Handler,414,PG,29,,-2.19,-0.88,-1.31,0,-2.14,-0.51,-1.63,0.32,-0.84,1.16
Trey Lyles,DET/SAC,Stretch Big,"1,306",PF,26,,-0.49,-0.19,-0.3,1.6,-0.43,-0.19,-0.24,-0.21,0.18,-0.38
Trey Murphy III,NOP,Stationary Shooter,680,SF,21,,-1.35,-0.97,-0.38,0.4,-1.02,-0.56,-0.46,-0.38,-1.15,0.77
Tristan Thompson,SAC/IND/CHI,Roll + Cut Big,729,PF,31,,-0.69,-0.36,-0.33,0.8,-1.05,-0.91,-0.14,-0.79,0.76,-1.55
Troy Brown Jr.,CHI,Athletic Finisher,965,SF,22,,-1.51,-1.48,-0.04,0.5,-1.65,-1.54,-0.11,-0.59,-1.12,0.53
Ty Jerome,OKC,Secondary Ball Handler,801,SG,24,,-1.51,-0.99,-0.52,0.4,-1.28,-0.41,-0.86,-0.27,-0.63,0.36
Tyler Cook,CHI,Roll + Cut Big,196,PF,24,,-2.09,-1.7,-0.39,0,-1.34,-1.49,0.15,-0.61,-0.05,-0.56
Tyler Hall,NYK,Low Minute,2,SG,24,,-0.36,-0.21,-0.15,0,-0.38,-0.2,-0.17,0,0,0
