PLAYER,TEAM,OFFENSIVE ARCHETYPE,MINUTES,POSITION,AGE,TIER,LEBRON,O-LEBRON,D-LEBRON,WINS ADDED,BOXLEBRON,BOXOLEBRON,BOXDLEBRON,LA-RAPM,LA-O-RAPM,LA-D-RAPM
Ayo Dosunmu,CHI,Primary Ball Handler,"1,781",SG,22,,-1.18,-1.13,-0.05,1.4,-1.62,-1.48,-0.14,-0.68,-0.85,0.18
Bam Adebayo,MIA,Post Scorer,"1,545",C,24,,2.47,0.25,2.22,4.9,2.88,0.82,2.05,0.51,-0.36,0.88
Ben McLemore,POR,Off Screen Shooter,"1,006",SG,29,,-2.86,-0.87,-1.99,-0.3,-2.34,-0.33,-2.01,-0.64,-1.06,0.41
Bismack Biyombo,PHO,Roll + Cut Big,388,C,29,,0.75,-0.39,1.14,0.8,-0.37,-0.96,0.59,0,0,0
BJ Johnson,ORL,Athletic Finisher,65,SF,26,,-0.3,-0.45,0.15,0.1,-0.22,-0.33,0.11,0,0,0
Blake Griffin,BRK,Stretch Big,940,PF,33,,-0.12,-0.36,0.24,1.4,0.13,0.26,-0.13,0.55,-0.33,0.87
Boban Marjanovic,DAL,Post Scorer,100,C,33,,-0.56,-0.57,0.01,0.1,-0.94,-0.59,-0.35,0.9,0.32,0.59
Bobby Portis,MIL,Stretch Big,"1,788",C,27,,1.13,0.08,1.05,4.1,1.41,0.76,0.65,-0.43,-0.96,0.53
Bogdan Bogdanovic,ATL,Secondary Ball Handler,"1,566",SG,29,,1.31,1.84,-0.53,3.8,0.24,0.97,-0.74,1.37,1.84,-0.47
Bojan Bogdanovic,UTA,Movement Shooter,"1,979",PF,32,,-0.05,1.68,-1.73,3,0.87,1.98,-1.11,1,1.39,-0.4
Bol Bol,DEN,Roll + Cut Big,81,PF,22,,-0.6,-0.61,0.01,0.1,-0.7,-0.54,-0.16,0.28,0.03,0.25
Bones Hyland,DEN,Secondary Ball Handler,"1,085",PG,21,,-0.53,0.35,-0.88,1.3,0.15,0.6,-0.44,-0.21,-0.15,-0.07
Brad Wanamaker,IND/WAS,Secondary Ball Handler,320,PG,32,,-1.6,-1.57,-0.03,0.2,-1.67,-1.5,-0.17,-0.2,-0.41,0.21
Bradley Beal,WAS,Slasher,"1,439",SG,28,,1.22,1.09,0.13,3.4,0.1,1.3,-1.2,0.26,0.52,-0.26
Brandon Boston Jr.,LAC,Secondary Ball Handler,708,SG,20,,-2.38,-1.89,-0.5,0,-1.46,-1.07,-0.38,-1.25,-0.99,-0.26
Brandon Clarke,MEM,Roll + Cut Big,"1,104",PF,25,,1.95,1.45,0.5,3.1,1.36,0.64,0.72,0.63,0.98,-0.36
Brandon Goodwin,CLE,Secondary Ball Handler,440,PG,26,,-0.11,-0.14,0.03,0.6,-0.41,-0.34,-0.07,0,0,0
Brandon Ingram,NOP,Shot Creator,"1,712",SF,24,,0.95,1.34,-0.39,3.7,0.79,1.35,-0.56,-1.32,-0.5,-0.82
Brandon Knight,DAL,Low Minute,55,PG,30,,-0.68,-0.26,-0.43,0.1,-0.57,-0.24,-0.33,0,0,0
Brandon Williams,POR,Shot Creator,357,PG,22,,-1.41,0.08,-1.49,0.2,-0.79,0.15,-0.94,0,0,0
Braxton Key,PHI,Stretch Big,6,SF,25,,-0.95,-0.37,-0.58,0,-0.91,-0.32,-0.58,0,0,0
Brodric Thomas,BOS,Athletic Finisher,44,SG,25,,-0.97,-0.33,-0.64,0,-1.03,-0.37,-0.66,-0.07,-0.09,0.02
Brook Lopez,MIL,Stretch Big,79,C,33,,-0.59,-0.66,0.07,0.1,-0.74,-0.57,-0.17,0.53,0.3,0.24
Bruce Brown,BRK,Roll + Cut Big,"1,488",SF,25,,0.3,0.02,0.28,2.6,-0.28,-0.84,0.56,0.93,-0.05,0.98
Bruno Fernando,BOS/HOU,Roll + Cut Big,106,C,23,,-0.6,-0.31,-0.29,0.1,-0.57,-0.37,-0.21,-0.2,-0.09,-0.11
Bryn Forbes,SAS/DEN,Off Screen Shooter,"1,209",SG,28,,-1.56,-0.41,-1.15,0.6,-2.41,-0.62,-1.79,1.01,0.59,0.42
Buddy Hield,SAC/IND,Movement Shooter,"2,156",SG,29,,-0.18,1.42,-1.6,3.1,-1.18,0.38,-1.56,0.59,1.54,-0.95
Cade Cunningham,DET,Primary Ball Handler,"1,829",PG,20,,-1.38,-0.98,-0.41,1.2,-1.98,-1.35,-0.63,-1.03,-1.68,0.64
Caleb Martin,MIA,Athletic Finisher,"1,237",SF,26,,-0.21,-0.63,0.43,1.7,0.08,-0.56,0.63,0.62,0.48,0.15
Cam Reddish,ATL/NYK,Movement Shooter,"1,012",SF,22,,-4.04,-1.68,-2.36,-1.1,-1.09,-0.27,-0.82,-2.99,-1.05,-1.94
Cam Thomas,BRK,Secondary Ball Handler,"1,096",SG,20,,-2.09,-0.06,-2.03,0.2,-1.67,-0.53,-1.14,-0.81,0.12,-0.93
Cameron Johnson,PHO,Stationary Shooter,"1,579",PF,26,,1,0.42,0.57,3.5,0.72,0.75,-0.04,1.82,0.13,1.69
Cameron McGriff,POR,Athletic Finisher,46,SF,24,,-0.16,0.01,-0.17,0.1,-0.49,-0.39,-0.09,0,0,0
Cameron Oliver,ATL,Roll + Cut Big,43,SF,25,,-0.73,-0.36,-0.37,0,-0.5,-0.39,-0.12,0,0,0
Cameron Payne,PHO,Primary Ball Handler,"1,119",PG,27,,0.49,-0.14,0.63,2.1,-0.35,0.26,-0.61,-1.05,-1.52,0.48
Caris LeVert,IND/CLE,Slasher,"1,458",SG,27,,0.19,1.78,-1.59,2.4,0.09,0.97,-0.88,1.61,1.97,-0.35
Carlik Jones,DAL/DEN,Slasher,23,PG,24,,-0.62,-0.28,-0.34,0,-0.51,-0.23,-0.29,0,0,0
Carmelo Anthony,LAL,Versatile Big,"1,657",PF,37,,-2.08,-0.35,-1.73,0.3,-0.66,0,-0.66,-1.85,0.13,-1.99
Cassius Stanley,DET,Athletic Finisher,155,SG,22,,-1.84,-1.41,-0.43,0.1,-1.5,-1.39,-0.11,0,0,0
Cassius Winston,WAS,Secondary Ball Handler,27,PG,24,,-0.27,-0.09,-0.18,0,-0.18,-0.15,-0.02,-0.05,0.01,-0.07
Cat Barber,ATL,Slasher,13,PG,27,,-0.37,-0.29,-0.08,0,-0.36,-0.25,-0.11,0,0,0
Cedi Osman,CLE,Movement Shooter,"1,324",SF,26,,-2.19,-0.56,-1.62,0.1,-0.38,0.24,-0.62,-1.59,0.08,-1.67
Chandler Hutchison,PHO,Roll + Cut Big,22,SF,25,,-1.38,-0.61,-0.77,0,-1.37,-0.61,-0.77,-0.03,-0.16,0.13
Charles Bassey,PHI,Roll + Cut Big,168,PF,21,,-0.25,-1.03,0.78,0.2,-0.57,-1.13,0.56,0.46,0.14,0.33
Charlie Brown Jr.,DAL/PHI,Stretch Big,173,SG,25,,-1.83,-1.55,-0.28,0.1,-1.75,-1.28,-0.46,0,0,0
Chaundee Brown Jr.,LAL/ATL,Low Minute,104,SG-SF,23,,-0.95,-0.71,-0.24,0.1,-0.54,-0.44,-0.09,0,0,0
Cheick Diallo,DET,Roll + Cut Big,31,C,25,,-0.63,-0.66,0.03,0,-0.49,-0.5,0.01,0,0,0
Chimezie Metu,SAC,Stretch Big,"1,065",C,24,,-0.44,-1.72,1.28,1.3,-0.27,-0.95,0.67,0.89,-0.07,0.96
Chris Boucher,TOR,Stretch Big,"1,455",PF,29,,1.33,0.86,0.47,3.5,0.68,0,0.68,-0.18,0.05,-0.23
Chris Chiozza,GSW,Secondary Ball Handler,339,PG,26,,-2.41,-1.62,-0.79,0,-2.21,-1.41,-0.8,-0.56,-0.55,0.01
Chris Duarte,IND,Secondary Ball Handler,"1,541",SG,24,,-1.04,-0.5,-0.55,1.3,-1.48,-0.48,-1,2.19,1.23,0.96
Chris Paul,PHO,Slasher,"1,916",PG,36,,3.72,2.82,0.9,7.6,4.3,2.58,1.72,0.51,0.15,0.36
Chris Silva,MIN/MIA,Roll + Cut Big,91,PF,25,,-1.21,-1.09,-0.12,0.1,-0.77,-0.73,-0.04,0,0,0
Christian Wood,HOU,Stretch Big,"2,016",C,26,,-0.28,-0.47,0.19,2.7,0.78,0.75,0.02,-1.22,-0.7,-0.52
Chuma Okeke,ORL,Stationary Shooter,"1,459",PF,23,,-0.26,-1.3,1.04,2,-0.29,-1.22,0.93,-0.17,-0.12,-0.06
CJ Elleby,POR,Athletic Finisher,855,SF,21,,-2.41,-1.86,-0.56,0,-2.42,-2.16,-0.26,-0.71,-0.63,-0.08
CJ McCollum,POR/NOP,Secondary Ball Handler,"1,829",SG,30,,0.02,2.05,-2.03,2.8,0.09,1.35,-1.25,-1.76,0.11,-1.87
CJ Miles,BOS,Low Minute,2,SG,35,,-0.88,-0.21,-0.67,0,-0.85,-0.19,-0.65,0,0,0
Clint Capela,ATL,Roll + Cut Big,"1,753",C,27,,2.81,0.86,1.95,5.9,2.39,0.64,1.75,0.85,1.14,-0.29
Coby White,CHI,Secondary Ball Handler,"1,416",PG,22,,-0.72,1.31,-2.03,1.5,-1.01,0.25,-1.26,0.24,0.53,-0.3
Cody Martin,CHO,Stationary Shooter,"1,626",SF,26,,-0.07,-0.25,0.17,2.4,-1.19,-1.15,-0.04,0.95,1.82,-0.87
Cody Zeller,POR,Roll + Cut Big,355,C,29,,-0.4,-0.74,0.34,0.5,-0.77,-0.79,0.02,-0.52,-0.06,-0.46
Cole Anthony,ORL,Primary Ball Handler,"1,888",PG,21,,0.02,0.28,-0.26,2.9,-0.79,-0.29,-0.5,0.01,0.91,-0.91
Collin Sexton,CLE,Slasher,316,SG,23,,-2.04,-1.22,-0.81,0.1,-1.57,-0.55,-1.02,-1.26,-1.24,-0.02
Corey Kispert,WAS,Movement Shooter,"1,446",SF,23,,-1.24,0.16,-1.41,1,-2.18,-0.99,-1.2,-0.21,0.62,-0.84
Cory Joseph,DET,Primary Ball Handler,"1,497",PG,30,,-2.61,-1.88,-0.74,-0.3,-2.76,-2.01,-0.75,-0.65,-0.42,-0.23
Craig Sword,WAS,Stationary Shooter,19,SG,28,,-0.19,-0.26,0.07,0,-0.2,-0.21,0.01,0,0,0
D'Angelo Russell,MIN,Primary Ball Handler,"1,861",PG,26,,0.73,2.22,-1.49,3.8,1.52,2.26,-0.73,1.24,0.94,0.3
D.J. Augustin,HOU/LAL,Secondary Ball Handler,698,PG,34,,-3.08,-0.71,-2.37,-0.3,-2.02,-0.74,-1.28,-1.06,0.87,-1.94
D.J. Wilson,TOR,Roll + Cut Big,54,PF,26,,-0.87,-0.69,-0.17,0.1,-0.74,-0.63,-0.11,0,0,0
Daishen Nix,HOU,Secondary Ball Handler,156,SG,20,,-0.38,-0.52,0.14,0.2,-0.46,-0.6,0.14,-0.08,-0.07,-0.02
Dakota Mathias,MEM,Low Minute,16,SG,26,,-1.36,-0.61,-0.74,0,-1.25,-0.53,-0.72,0,0,0
Dalano Banton,TOR,Athletic Finisher,676,SF,22,,-1.27,-1.51,0.24,0.5,-1.92,-1.84,-0.08,0.18,0.15,0.02
Damian Jones,SAC,Roll + Cut Big,749,C,26,,-1.32,-1.69,0.37,0.5,-0.78,-1.35,0.57,1,0.63,0.37
Damian Lillard,POR,Shot Creator,"1,056",PG,31,,2.41,3.53,-1.12,3.3,1.01,2.76,-1.75,3.18,2.01,1.16
Damion Lee,GSW,Stationary Shooter,"1,069",SG,29,,-1.8,-0.96,-0.84,0.4,-0.83,-0.88,0.05,0.01,0.3,-0.29
Damyean Dotson,NYK,Off Screen Shooter,21,SG,27,,-0.39,-0.16,-0.23,0,-0.49,-0.33,-0.16,0,0,0
Daniel Gafford,WAS,Roll + Cut Big,"1,251",C,23,,1.47,-0.06,1.53,3.1,0.98,-0.37,1.35,0.75,0.27,0.47
Daniel Oturu,TOR,Roll + Cut Big,27,C,22,,-0.95,-0.66,-0.29,0,-0.85,-0.58,-0.27,0,0,0
Daniel Theis,HOU/BOS,Stretch Big,744,C,29,,-1.51,-2.42,0.91,0.4,-0.92,-1.25,0.33,-1.93,-1.98,0.05
Danilo Gallinari,ATL,Versatile Big,"1,458",PF,33,,-0.31,0.97,-1.28,1.9,-0.13,0.55,-0.69,-1.48,0.05,-1.54
Danny Green,PHI,Stationary Shooter,"1,123",SF,34,,-1.29,-2.27,0.98,0.8,-1.47,-1.79,0.32,1.95,0.17,1.78
Danuel House Jr.,HOU/NYK/UTA,Stationary Shooter,582,SF,28,,-2.17,-1.34,-0.83,0.1,-0.57,-0.53,-0.04,-2.65,-1.18,-1.47
DaQuan Jeffries,MEM,Low Minute,9,SG,24,,-1.21,-0.5,-0.72,0,-1.23,-0.53,-0.7,0,0,0
Darius Bazley,OKC,Stationary Shooter,"1,881",PF,21,,-2,-2,-0.01,0.4,-1.29,-2.03,0.75,-0.99,-0.77,-0.21
Darius Garland,CLE,Primary Ball Handler,"2,063",PG,22,,2.29,2.1,0.2,6.3,1.18,1.65,-0.47,1.07,0.61,0.46
Darren Collison,LAL,Low Minute,37,PG,34,,-0.87,-0.5,-0.38,0,-0.58,-0.36,-0.21,0,0,0
David Duke Jr.,BRK,Athletic Finisher,340,PG,22,,-0.73,-0.45,-0.29,0.4,-1.42,-1.1,-0.32,0.25,0.57,-0.32
David Johnson,TOR,Off Screen Shooter,2,SG,21,,-0.73,-0.4,-0.33,0,-0.73,-0.4,-0.33,0.01,0.01,-0.02
David Nwaba,HOU,Stretch Big,596,SF,29,,0.29,-0.27,0.56,1,0.13,-0.64,0.77,-0.43,-0.63,0.2
Davion Mitchell,SAC,Primary Ball Handler,"1,718",PG,23,,-2.43,-1.62,-0.81,-0.1,-2.92,-1.12,-1.8,0.96,-0.06,1.02
Davis Bertans,WAS/DAL,Off Screen Shooter,691,PF,29,,-0.61,-0.26,-0.35,0.8,-1.23,-0.57,-0.66,-0.59,-0.23,-0.36
Davon Reed,DEN,Movement Shooter,536,SG,26,,-1.02,-1.33,0.31,0.5,-0.85,-1.2,0.35,-0.14,-0.55,0.41
Day'Ron Sharpe,BRK,Roll + Cut Big,391,PF,20,,-0.41,0.29,-0.7,0.5,-0.56,-0.04,-0.52,-0.02,-0.33,0.32
De'Aaron Fox,SAC,Slasher,"2,084",PG,24,,-0.79,1.45,-2.24,2.1,-0.66,0.71,-1.37,-2.33,0.48,-2.81
De'Andre Hunter,ATL,Stationary Shooter,"1,286",SF,24,,-1.16,-1.35,0.19,1,-1.2,-0.84,-0.36,-1.35,-0.77,-0.59
De'Anthony Melton,MEM,Movement Shooter,"1,413",SG,23,,1.41,0.21,1.2,3.5,0.8,0.06,0.74,0.96,0.53,0.43
Dean Wade,CLE,Stationary Shooter,980,PF,25,,-0.63,-1.87,1.24,1.1,-1.21,-1.57,0.36,0.01,-1.18,1.17
Deandre Ayton,PHO,Post Scorer,"1,493",C,23,,1,0.3,0.7,3.3,1.77,0.64,1.13,0.14,0.39,-0.25
DeAndre Jordan,LAL/PHI,Roll + Cut Big,521,C,33,,-0.86,-2.08,1.23,0.5,0.07,-1.46,1.53,-1.34,-1.44,0.1
DeAndre' Bembry,BRK/MIL,Roll + Cut Big,"1,026",SF,27,,-2.03,-1.7,-0.33,0.2,-1.13,-1.89,0.75,-1.39,-0.2,-1.19
Deividas Sirvydis,DET,Athletic Finisher,27,SG,21,,-0.76,-0.69,-0.07,0,-0.39,-0.42,0.03,0,0,0
DeJon Jarreau,IND,Low Minute,1,SG,24,,-0.25,-0.01,-0.24,0,-0.24,-0.02,-0.22,-0.03,0.01,-0.05
Dejounte Murray,SAS,Slasher,"2,187",PG,25,,3.12,2.63,0.49,7.8,2.85,2.3,0.56,0.34,0.82,-0.49
Delon Wright,ATL,Primary Ball Handler,"1,209",SG,29,,0.36,-0.51,0.87,2.2,0.16,-0.55,0.71,0.01,-1.01,1.02
DeMar DeRozan,CHI,Shot Creator,"2,414",PF,32,,1.38,2.6,-1.22,5.9,1.68,2.56,-0.88,1.03,0.1,0.93
DeMarcus Cousins,MIL/DEN,Stretch Big,596,C,31,,2.23,1.3,0.93,1.8,1.24,0.51,0.73,1.04,0.8,0.24
Deni Avdija,WAS,Stationary Shooter,"1,663",SF,21,,0.87,-0.64,1.51,3.5,-0.72,-1.32,0.6,2.92,1.09,1.83
Dennis Schroder,BOS/HOU,Stationary Shooter,"1,765",SG-PG,28,,-1.52,-1.16,-0.36,0.9,-0.49,0.11,-0.59,-0.13,-0.12,0.01
Dennis Smith Jr.,POR,Slasher,638,PG,24,,-0.63,-1.26,0.63,0.7,-0.44,-0.95,0.51,-1.98,-1.12,-0.86
Denzel Valentine,CLE/UTA,Stationary Shooter,222,SG,28,,-1.65,-1.17,-0.48,0.1,-1.33,-0.85,-0.49,-1.06,-1.14,0.08
Derrick Favors,OKC,Roll + Cut Big,653,C,30,,-0.45,-1.9,1.45,0.8,-1.11,-1.68,0.57,0.38,-0.52,0.9
Derrick Jones Jr.,CHI,Stretch Big,799,PF,25,,-0.42,-0.83,0.41,1,-1.32,-1.84,0.51,1.35,2.25,-0.9
Derrick Rose,NYK,Secondary Ball Handler,636,PG,33,,-0.35,0.03,-0.38,0.8,-0.57,0.22,-0.79,1.4,0.78,0.62
Derrick Walton Jr.,DET,Secondary Ball Handler,108,PG,26,,-0.15,-0.74,0.59,0.2,-0.39,-0.72,0.33,0,0,0
Derrick White,SAS/BOS,Secondary Ball Handler,"1,930",SG,27,,1.1,0.33,0.77,4.4,0.6,0.58,0.02,-1.05,-1.11,0.06
Desmond Bane,MEM,Movement Shooter,"2,043",SF,23,,1.23,1.3,-0.07,4.8,1.42,1.27,0.14,0.98,-0.12,1.1
Devin Booker,PHO,Shot Creator,"2,094",SG,25,,2.48,2.9,-0.41,6.6,2.76,2.68,0.07,1.33,0.54,0.79
Devin Vassell,SAS,Movement Shooter,"1,691",SF,21,,0.08,-0.57,0.65,2.7,-0.81,-0.63,-0.18,-0.22,0.19,-0.42
Devon Dotson,CHI,Secondary Ball Handler,85,PG,22,,-0.7,-0.41,-0.29,0.1,-0.68,-0.41,-0.27,-0.5,-0.2,-0.3
Devontae Cacok,SAS,Roll + Cut Big,92,PF,25,,-0.66,-0.97,0.31,0.1,-0.56,-0.88,0.33,0.09,0.09,0.01
Devonte' Graham,NOP,Primary Ball Handler,"1,984",PG,27,,0.83,1.73,-0.9,4.1,-0.15,0.65,-0.8,0.77,1.3,-0.53
Dewayne Dedmon,MIA,Roll + Cut Big,961,C,32,,-0.2,-1.25,1.05,1.4,0.08,-1.58,1.66,1.65,1.57,0.08
Didi Louzada,NOP,Low Minute,7,SF,22,,-0.29,-0.18,-0.11,0,-0.31,-0.26,-0.05,0.09,0.25,-0.16
Dillon Brooks,MEM,Slasher,688,SF,26,,0.44,0.37,0.07,1.3,-0.43,0.37,-0.8,0.86,0.71,0.15
Domantas Sabonis,IND/SAC,Post Scorer,"2,136",C-PF,25,,2.48,1.17,1.31,6.8,1.69,1.54,0.15,0.89,0.4,0.49
Donovan Mitchell,UTA,Primary Ball Handler,"1,987",SG,25,,1.97,3.52,-1.56,5.6,3.34,4.13,-0.79,1.82,1.73,0.09
Donte DiVincenzo,MIL/SAC,Stationary Shooter,745,SG,25,,-2.38,-1.08,-1.3,0,-0.78,-0.26,-0.52,0,0,0
Dorian Finney-Smith,DAL,Stationary Shooter,"2,322",PF,28,,0.23,0.17,0.07,3.9,0.06,-0.66,0.72,1.24,1.14,0.1
Doug McDermott,SAS,Movement Shooter,"1,223",PF,30,,-2.22,-0.19,-2.02,0.1,-2.03,-0.67,-1.37,0.35,0.83,-0.48
Draymond Green,GSW,Roll + Cut Big,"1,079",PF,32,,2.67,-0.68,3.36,3.6,2.13,-0.61,2.74,0.87,-0.07,0.94
Drew Eubanks,SAS/POR,Roll + Cut Big,923,C,25,,-1.07,-1.35,0.28,0.8,-0.47,-1.03,0.56,-0.77,-1.34,0.58
Duane Washington Jr.,IND,Movement Shooter,801,PG,21,,-2.34,-0.2,-2.14,0,-2.07,-0.4,-1.66,-0.41,-0.12,-0.29
Duncan Robinson,MIA,Movement Shooter,"1,829",SG,27,,0.12,-0.08,0.19,3,0.44,0.4,0.03,0.98,0.41,0.58
Dwight Howard,LAL,Roll + Cut Big,760,C,36,,-0.21,-1.29,1.09,1.1,0.15,-1.13,1.28,0.11,-0.55,0.65
Dwight Powell,DAL,Roll + Cut Big,"1,547",C,30,,0.15,-0.13,0.28,2.5,0.08,-0.35,0.43,-1.25,-1.27,0.02
Dylan Windler,CLE,Stationary Shooter,379,SF,25,,-2.41,-2.27,-0.14,0,-1.62,-1.58,-0.04,-2,-1.4,-0.59
Ed Davis,CLE,Roll + Cut Big,185,C,32,,-1.42,-2.35,0.93,0.1,-1.17,-2.08,0.91,-0.69,-0.57,-0.11
Elfrid Payton,PHO,Slasher,513,PG,28,,-2.18,-2.01,-0.17,0.1,-2.22,-1.96,-0.26,-0.51,0.12,-0.62
Elijah Hughes,UTA/POR,Stationary Shooter,269,SF-SG,24,,-2.67,-0.95,-1.72,-0.1,-0.93,-0.56,-0.37,-0.77,-0.25,-0.52
Emanuel Terry,PHO,Roll + Cut Big,18,PF,25,,-1.68,-0.71,-0.96,0,-1.31,-0.5,-0.81,0,0,0
Emmanuel Mudiay,SAC,Low Minute,11,PG,26,,-0.35,-0.26,-0.09,0,-0.27,-0.21,-0.07,0,0,0
Enes Freedom,BOS,Post Scorer,411,C,29,,-0.69,-1.12,0.43,0.4,-1.36,-1.48,0.12,1.13,0.35,0.78
Eric Bledsoe,LAC,Primary Ball Handler,"1,361",PG,32,,-1.26,-1.34,0.08,1,-0.68,-0.97,0.29,-2.53,-1.62,-0.91
Eric Gordon,HOU,Secondary Ball Handler,"1,625",SG,33,,-1.97,-0.19,-1.79,0.4,-2.87,-0.81,-2.06,-1.27,-0.74,-0.53
Eric Paschall,UTA,Stationary Shooter,655,PF,25,,-1.9,-0.3,-1.6,0.2,-1.26,0.03,-1.29,-0.54,-0.43,-0.11
Eugene Omoruyi,DAL,Stretch Big,18,SF,25,,-0.44,-0.23,-0.21,0,-0.53,-0.25,-0.28,0.11,0.01,0.11
Evan Fournier,NYK,Movement Shooter,"2,050",SG,29,,-1.26,-0.03,-1.23,1.5,-0.6,-0.07,-0.53,-1.06,-0.46,-0.61
Evan Mobley,CLE,Roll + Cut Big,"2,190",PF,20,,1.5,-0.94,2.44,5.5,1.18,-0.8,1.98,1.39,-0.91,2.3
Facundo Campazzo,DEN,Primary Ball Handler,"1,173",PG,30,,-1.82,-1.74,-0.07,0.4,0.28,-0.26,0.54,-4.09,-1.95,-2.13
Frank Jackson,DET,Movement Shooter,983,PG,23,,-2.38,-1,-1.37,0,-2.7,-0.92,-1.78,-1.03,-1.27,0.25
Frank Kaminsky,PHO,Roll + Cut Big,181,C,28,,-1.23,-1.35,0.12,0.1,-1.1,-0.71,-0.39,-0.27,-0.9,0.63
Frank Ntilikina,DAL,Stationary Shooter,639,PG,23,,-0.53,-0.96,0.43,0.8,-1.25,-1.07,-0.17,1.62,0.07,1.55
Franz Wagner,ORL,Secondary Ball Handler,"2,278",SF,20,,-0.07,-0.17,0.1,3.4,-1.95,-1.35,-0.6,-0.7,-0.49,-0.21
Fred VanVleet,TOR,Primary Ball Handler,"2,216",PG,28,,2.22,1.57,0.64,6.6,1.79,1.91,-0.12,1.22,0.59,0.63
Freddie Gillespie,ORL,Roll + Cut Big,119,PF,24,,0.34,-1.01,1.34,0.2,-0.22,-1.01,0.8,0,0,0
Furkan Korkmaz,PHI,Secondary Ball Handler,"1,329",SG,24,,-2.31,-1.03,-1.28,0,-1.55,-0.61,-0.94,-1.19,-0.75,-0.44
Gabe Vincent,MIA,Primary Ball Handler,"1,483",PG,25,,-1.33,-1.52,0.19,1,-0.58,-0.6,0.02,0.77,-0.56,1.34
Gabriel Deck,OKC,Stretch Big,56,PF,27,,-0.59,-0.68,0.09,0.1,-0.45,-0.56,0.11,-0.26,-0.11,-0.15
Garrett Temple,NOP,Stationary Shooter,"1,059",SG,35,,-3.61,-2.77,-0.84,-0.9,-1.3,-1.6,0.3,-4.6,-2.39,-2.21
Garrison Mathews,HOU,Movement Shooter,"1,463",SG,25,,-0.67,0.41,-1.09,1.6,-1.63,-0.56,-1.07,-0.1,1.23,-1.34
Gary Clark,NOP,Stationary Shooter,331,PF,27,,-0.51,-0.93,0.42,0.4,-0.53,-1.1,0.56,-0.08,-0.22,0.14
Gary Harris,ORL,Stationary Shooter,"1,710",SG,27,,-2.01,-1.38,-0.62,0.4,-2.83,-1.7,-1.13,-0.4,-0.34,-0.05
Gary Payton II,GSW,Stretch Big,"1,017",PG,29,,1.93,0.17,1.76,2.9,1.3,-0.2,1.5,2.44,1.41,1.04
Gary Trent Jr.,TOR,Secondary Ball Handler,"2,158",SG,23,,1.16,1.45,-0.29,5,0.47,0.52,-0.05,1.13,1.27,-0.13
George Hill,MIL,Secondary Ball Handler,"1,079",SG,35,,-0.46,-0.89,0.43,1.3,-1.4,-1.15,-0.25,0.86,1,-0.14
George King,DAL,Movement Shooter,19,SF,28,,-0.92,-0.39,-0.53,0,-0.58,-0.3,-0.27,0,0,0
Georges Niang,PHI,Stationary Shooter,"1,573",PF,28,,-1.78,-0.57,-1.21,0.6,-1.91,-0.87,-1.04,0.44,0.31,0.13
Georgios Kalaitzakis,MIL,Athletic Finisher,48,SF,23,,-1.71,-0.92,-0.79,0,-0.86,-0.57,-0.29,-2.22,-0.9,-1.32
Giannis Antetokounmpo,MIL,Slasher,"1,940",PF,27,,6.12,4.31,1.81,10.5,6.51,4.92,1.59,2.3,0.94,1.36
Goga Bitadze,IND,Stretch Big,566,C,22,,-0.22,0.13,-0.35,0.8,0.17,-0.15,0.32,-0.44,-0.07,-0.37
Goran Dragic,TOR/BRK,Secondary Ball Handler,398,PG,35,,-0.76,-0.38,-0.38,0.4,-1.38,-0.72,-0.65,-0.25,-0.46,0.21
Gordon Hayward,CHO,Movement Shooter,"1,547",SF,31,,-0.97,-0.85,-0.12,1.4,-0.35,0.27,-0.62,-1.33,-0.85,-0.49
Gorgui Dieng,ATL,Stretch Big,357,C,32,,-0.09,-0.79,0.7,0.5,0.82,-0.15,0.97,0.45,-0.3,0.75
Grant Williams,BOS,Athletic Finisher,"1,634",PF,23,,-2.3,-2.04,-0.26,0,-0.82,-1.46,0.64,-1.04,-1.13,0.09
Grayson Allen,MIL,Movement Shooter,"1,622",SG,26,,-0.17,-0.4,0.23,2.3,0.3,0.36,-0.06,0.01,-0.06,0.07
Greg Brown III,POR,Stretch Big,414,SF,20,,-1.83,-2.2,0.37,0.1,-1.16,-1.93,0.76,-1.04,-0.56,-0.49
Greg Monroe,MIN/WAS/MIL,Roll + Cut Big,150,C,31,,-0.75,-0.32,-0.43,0.2,-0.74,-0.49,-0.26,0,0,0
Hamidou Diallo,DET,Athletic Finisher,"1,269",SG,23,,-1.2,-1.69,0.5,1,-1.12,-1.23,0.11,0.3,-0.38,0.67
Harrison Barnes,SAC,Stationary Shooter,"2,302",PF,29,,-0.79,0.96,-1.75,2.3,-0.85,0.48,-1.33,-1.02,1.02,-2.03
Hassan Whiteside,UTA,Roll + Cut Big,"1,071",C,32,,2.93,0.77,2.17,3.7,2.37,-0.06,2.43,0.99,1.28,-0.29
Hassani Gravett,ORL,Secondary Ball Handler,171,PG,25,,-0.33,-0.8,0.47,0.2,-0.63,-0.94,0.31,0,0,0
Haywood Highsmith,MIA,Athletic Finisher,107,SF,25,,-1.4,-0.97,-0.43,0.1,-1.1,-0.89,-0.21,0,0,0
Herbert Jones,NOP,Athletic Finisher,"2,067",PF,23,,1.92,-0.26,2.18,5.8,-0.64,-1.74,1.1,2.72,1.3,1.43
