Wingspan,PlayerName,PlayerID
85,Jarred Vanderbilt,1629020
82.25,Jordan Nwora,1629670
80.5,Josh Hart,1628404
87.5,Karl-Anthony Towns,1626157
81.25,Keldon Johnson,1629640
83,Luka Doncic,1629029
86.5,Nic Claxton,1629651
85.5,Paul Reed,1630194
81.75,Semi Ojeleye,1628400
81.5,Sterling Brown,1628425
83,Tobias Harris,202699
85.5,Trey Lyles,1626168
84,Trey Murphy III,1630530
84.25,Jalen Johnson,1630552
88,Dewayne Dedmon,203473
85.25,Isaiah Todd,1630225
83.75,Aaron Gordon,203932
79.75,Ben McLemore,203463
82,Caris LeVert,1627747
84,Darius Bazley,1629647
79.5,Derrick White,1628401
78.75,Gary Harris,203914
79.25,Grayson Allen,1628960
83.25,Harrison Barnes,203084
81.5,Jarrett Culver,1629633
84,Julius Randle,203944
77,Kira Lewis Jr.,1630184
84.25,Kyle Kuzma,1628398
81.5,Miles Bridges,1628970
76.25,Davion Mitchell,1630558
83.25,Jonathan Kuminga,1630228
87.5,Alex Len,203458
83,Cedi Osman,1626224
78.25,CJ McCollum,203468
77,Darius Garland,1629636
87,Giannis Antetokounmpo,203507
79,Goran Dragic,201609
81.75,Grant Williams,1629684
80,Jae'Sean Tate,1630256
79.25,Jaylen Nowell,1629669
76.25,Jevon Carter,1628975
75.5,Kemba Walker,202689
83.75,Kevin Knox II,1628995
82.75,Khris Middleton,203114
83,Patrick Williams,1630172
83,Saddiq Bey,1630180
87,Serge Ibaka,201586
79.5,Trent Forrest,1630235
85,Vernon Carey Jr.,1630176
80,Quentin Grimes,1629656
79.25,Austin Rivers,203085
80.25,Devin Booker,1626164
82,Dylan Windler,1629685
85.5,Enes Freedom,202683
85.75,Goga Bitadze,1629048
79,Jrue Holiday,201950
84.5,Khem Birch,203920
84.25,LeBron James,2544
81,Lonzo Ball,1628366
86.25,Nick Richards,1630208
80.25,Spencer Dinwiddie,203915
80.25,Zach LaVine,203897
79.25,Keon Johnson,1630553
85.75,Kai Jones,1630539
87,Aleksej Pokusevski,1630197
84.5,Ben Simmons,#N/A
77.5,Cory Joseph,202709
81,DeMar DeRozan,201942
82,Furkan Korkmaz,1627788
81.25,Ignas Brazdeikis,1629649
80.5,Isaac Okoro,1630171
78,Ja Morant,1629630
83,Jayson Tatum,1628369
80,Kentavious Caldwell-Pope,203484
83.25,Kevin Love,201567
90,Kristaps Porzingis,204001
79,Malik Beasley,1627736
87,Nikola Jokic,203999
83.25,Paul George,202331
83,Sekou Doumbouya,1629635
79.5,Jalen Green,1630224
78.5,Cam Thomas,1630560
85.5,Luka Garza,1630568
79.5,Delon Wright,1626153
82,Georges Niang,1627777
84.25,Jalen McDaniels,1629667
80,John Konchar,1629723
78.75,Jordan Poole,1629673
80,Killian Hayes,1630165
81,Klay Thompson,202691
81,Lamar Stevens,1630205
79,R.J. Hampton,1630181
82.25,T.J. Warren,#N/A
83,Udonis Haslem,2617
83,Vlatko Cancar,1628427
77,Bryn Forbes,1627854
82,Cameron Johnson,1629661
76,Chris Paul,101108
85,Danilo Gallinari,201568
81.25,Doug McDermott,203926
84.5,Dwight Powell,203939
76,Jalen Brunson,1628973
78.5,Jamal Murray,#N/A
83.25,John Collins,1628381
84,Juancho Hernangomez,1627823
82,Marcus Morris Sr.,202694
82.75,Markieff Morris,202693
76,Payton Pritchard,1630202
80.75,Reggie Bullock,203493
76,Seth Curry,203552
78,Skylar Mays,1630219
79.75,Terance Mann,1629611
76,Tre Jones,1630200
79.75,Tyrese Haliburton,1630169
84,Day'Ron Sharpe,1630549
83.25,Blake Griffin,201933
79.5,Elijah Hughes,1630190
86.25,Isaiah Hartenstein,1628392
78.75,Landry Shamet,1629013
77,Malik Monk,1628370
72.25,Markus Howard,1630210
85,Mike Muscala,203488
76,Monte Morris,1628420
74,Patty Mills,201988
85,Zach Collins,1628380
76.5,Cole Anthony,1630175
78,Donte DiVincenzo,1628978
86.75,Jakob Poeltl,1627751
82.25,Joe Ingles,204060
85,Jonathan Isaac,#N/A
82,Josh Jackson,1628367
86,Jusuf Nurkic,203994
79.5,Max Strus,1629622
79.25,Michael Carter-Williams,#N/A
79,Tim Hardaway Jr.,203501
75,Trae Young,1629027
