player_name,player_id,season,poss,mp,raptor_box_offense,raptor_box_defense,raptor_box_total,raptor_onoff_offense,raptor_onoff_defense,raptor_onoff_total,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
Precious Achiuwa,achiupr01,2022,3202,1586,-2.410781490771395,2.109621551085225,-.3011599396861695,-1.986105951404298,4.150186634933141,2.164080683528844,-2.491506591665701,2.652447653913645,.1609410622479444,2.337522357265611,2.337522357265611,0,-2.379129419081499,2.464788491388237,.0856590723067376,-.7612908922506508
Steven Adams,adamsst01,2022,3988,1925,.6609400070461663,1.631761337539053,2.292701344585219,6.570561585174193,-3.067775152416176,3.502786432758017,1.904535892444312,.7127898118085646,2.617325704252877,5.256501208633845,5.256501208633845,0,1.572305856316884,1.811321596923068,3.383627453239953,-.2831589019604793
Bam Adebayo,adebaba01,2022,3446,1700,-.5239444495099957,3.817373108600432,3.293428659090436,-.2044334671147054,4.307573588431821,4.103140121317116,-.5021334818174449,4.108181082699155,3.60604760088171,5.53688254143568,5.53688254143568,0,.1382733844278993,3.580597901017524,3.718871285445422,.4355464945111016
Santi Aldama,aldamsa01,2022,629,298,-3.785513155510375,-2.3290974356232,-6.114610591133575,-3.645695039155157,2.826890021959334,-.8188050171958228,-4.039976413815284,-1.44938093690065,-5.489357350715934,-.4168383637079314,-.4168383637079314,0,-3.19474080835405,-2.378278714485278,-5.573019522839328,.0833918697877319
LaMarcus Aldridge,aldrila01,2022,2155,1027,-.1977683205869997,2.401652676408967,2.203884355821967,1.81929735123384,.3341440855569847,2.153441436790825,.179180004823854,2.141172771873834,2.320352776697688,2.650713093611798,2.650713093611798,0,.7819414992286239,1.03086924390155,1.812810743130174,-.2266959981378399
Nickeil Alexander-Walker,alexani01,2022,2982,1444,-1.692752610105218,-1.406660634979587,-3.099413245084805,-2.603332322293061,-1.643179238402965,-4.246511560696026,-1.974496932068557,-1.533257295902783,-3.50775422797134,-.5619440163317821,-.5619440163317821,0,-.8210739310213052,-1.503222343909967,-2.324296274931272,.7097813721848233
Grayson Allen,allengr01,2022,3663,1728,.6118558098761829,-.6152025382534363,-.0033467283772534,.1627165652193809,1.651863145090361,1.814579710309741,.5246117145297681,-.2026753090749331,.321936405454835,2.708092507794809,2.708092507794809,0,.4527277752173989,-.3526481742761923,.1000796009412066,-.0075738397242068
Jarrett Allen,allenja01,2022,3667,1809,.204917017265717,4.35363742115003,4.558554438415747,.605461993171385,2.196215755251487,2.801677748422872,.3047947743272474,4.119246134658275,4.424040908985523,6.589402560792305,6.589402560792305,0,.0571984408608599,3.497352935097271,3.554551375958131,-.4813049941371934
Jose Alvarado,alvarjo01,2022,1546,736,1.252969835447408,4.73523697016666,5.988206805614068,1.996013470155164,5.668048807955129,7.664062278110293,1.48631705204939,5.222439092397374,6.708756144446764,3.54636085909862,3.54636085909862,0,.965617806977647,4.635408046984098,5.601025853961746,-.1538999722902828
Justin Anderson,anderju01,2022,578,280,.3326079598030673,-5.354391045258567,-5.021783085455501,5.010533816133164,-3.749468940218145,1.26106487591502,1.337964808124282,-5.319566435605828,-3.981601627481547,-.1792958142557685,-.1792958142557685,0,-.4048170537101964,-4.408595497420576,-4.813412551130772,-.5748088368425859
Kyle Anderson,anderky01,2022,2947,1369,-1.162274511646639,.7309589802827254,-.4313155313639135,-1.705350337210543,.8000030066681729,-.9053473305423698,-1.388286036933001,.7463386583466367,-.6419473785863643,1.474038838494236,1.474038838494236,0,-1.339212273608243,1.206304623685192,-.1329076499230517,.1113300314037309
Giannis Antetokounmpo,antetgi01,2022,4376,2036,6.040703938513813,1.85115032353345,7.891854262047262,2.994154253200729,2.43822297854514,5.432377231745869,5.728610700077777,2.067938413496693,7.79654911357447,11.14544419959033,11.14544419959033,0,5.087754943910029,1.637198770854402,6.72495371476443,1.733382072919242
Thanasis Antetokounmpo,antetth01,2022,841,398,-3.328065414789803,.6725594696581987,-2.655505945131604,-5.221524172672719,-2.144981086197676,-7.366505258870395,-3.962277930436605,.1122462719091793,-3.850031658527426,-.2231807638064676,-.2231807638064676,0,-3.282133411352147,-.253198512644243,-3.53533192399639,-.0855470311316572
Carmelo Anthony,anthoca01,2022,3685,1718,.3808664276043698,-2.078983830618381,-1.698117403014011,-.3867367518318496,-.1030996898321776,-.4898364416640272,.2690490320820305,-1.768904545365552,-1.499855513283521,1.095030565362492,1.095030565362492,0,.1621906653942159,-2.085650866414001,-1.923460201019785,-.0684483632716758
Cole Anthony,anthoco01,2022,4223,2030,-.1086191480616929,-2.064903771153364,-2.173522919215057,1.7936031558434,-1.309992680127231,.4836104757161686,.4021925264283909,-2.016839039615652,-1.614646513187261,1.174317113804566,1.174317113804566,0,-.9059992960290081,-1.390859700349124,-2.296858996378132,-.1338709909254014
OG Anunoby,anunoog01,2022,3373,1668,.1169228407058468,-.8976454879639816,-.7807226472581347,1.60432261246656,-.2107626926717101,1.39355991979485,.4161460412878883,-.8327417748539249,-.4165957335660365,1.984488559982327,1.984488559982327,0,1.014209796765636,.3193743875940106,1.333584184359646,-.063920015568486
Ryan Arcidiacono,arcidry01,2022,38,17,3.911239832531334,5.892284612214109,9.803524444745443,-1.585083142192128,-13.99503583485737,-15.5801189770495,2.899092626981881,2.001858142338389,4.90095076932027,.0659417903960328,.0659417903960328,0,-.7416432043980659,.2054535882705438,-.536189616127522,-.6293984999904513
